CMDLINE /Users/wujinzhou/anaconda3/bin/python spimi.py
MEM 0.011719 1616134501.1426
MEM 11.394531 1616134501.2442
MEM 19.210938 1616134501.3447
MEM 27.753906 1616134501.4493
MEM 37.332031 1616134501.5532
MEM 38.863281 1616134501.6594
MEM 41.414062 1616134501.7643
MEM 43.960938 1616134501.8688
MEM 45.605469 1616134501.9724
MEM 48.703125 1616134502.0775
MEM 51.554688 1616134502.1811
MEM 52.292969 1616134502.2851
MEM 53.605469 1616134502.3853
MEM 53.675781 1616134502.4890
MEM 55.472656 1616134502.5942
MEM 59.835938 1616134502.6984
MEM 64.933594 1616134502.8024
MEM 68.265625 1616134502.9062
MEM 73.246094 1616134503.0066
MEM 80.402344 1616134503.1086
MEM 86.953125 1616134503.2111
MEM 90.984375 1616134503.3146
MEM 92.699219 1616134503.4189
MEM 92.750000 1616134503.5224
MEM 93.035156 1616134503.6275
MEM 95.734375 1616134503.7315
MEM 100.449219 1616134503.8344
MEM 103.652344 1616134503.9394
MEM 107.136719 1616134504.0442
MEM 107.351562 1616134504.1485
MEM 107.613281 1616134504.2524
MEM 107.816406 1616134504.3566
MEM 108.082031 1616134504.4568
MEM 108.132812 1616134504.5574
MEM 108.281250 1616134504.6610
MEM 108.769531 1616134504.7643
MEM 110.167969 1616134504.8688
MEM 110.257812 1616134504.9722
MEM 110.265625 1616134505.0769
MEM 110.277344 1616134505.1810
MEM 110.300781 1616134505.2817
MEM 110.312500 1616134505.3850
MEM 110.312500 1616134505.4868
MEM 110.332031 1616134505.5900
MEM 110.351562 1616134505.6949
MEM 110.371094 1616134505.7977
MEM 110.375000 1616134505.9024
MEM 110.539062 1616134506.0070
MEM 110.656250 1616134506.1110
MEM 110.675781 1616134506.2158
MEM 111.636719 1616134506.3196
MEM 111.691406 1616134506.4232
MEM 111.691406 1616134506.5271
MEM 111.695312 1616134506.6311
MEM 111.695312 1616134506.7338
MEM 111.699219 1616134506.8350
MEM 111.699219 1616134506.9379
MEM 111.699219 1616134507.0389
MEM 111.699219 1616134507.1438
MEM 111.699219 1616134507.2485
MEM 111.718750 1616134507.3526
MEM 111.718750 1616134507.4564
MEM 111.718750 1616134507.5616
MEM 111.765625 1616134507.6643
MEM 111.765625 1616134507.7689
MEM 111.808594 1616134507.8733
MEM 112.027344 1616134507.9772
MEM 112.117188 1616134508.0809
MEM 112.320312 1616134508.1837
MEM 112.320312 1616134508.2871
